#class tools::wcsv::ntuple
#title Escapes
#separator 44
#vector_separator 59
#column double EDep_Trigger
#column double N_Trigger
#column double EDep_PEN
#column double N_Left
#column double N_Right
#column double N_Bottom
#column double N_Front
#column double N_Back
2,88.2753,971.434,755,18,289,30,48
1,30.9997,1041.75,28,252,1351,57,62
1,44.0107,539.676,351,16,306,23,74
2,52.8102,1018.14,503,21,403,20,250
1,52.0575,1017.26,71,31,231,1140,16
1,74.8493,995.977,798,19,236,121,19
1,180.102,896.595,83,49,1217,95,36
2,131.961,941.923,33,142,1161,336,24
1,31.3881,1041.88,36,206,1317,51,78
1,30.439,1038.77,152,27,1324,121,40
9,770.656,0.14843,76,24,0,58,52
1,518.747,0.0793323,55,30,0,31,68
1,36.8886,1035.48,19,485,1007,23,85
1,61.1167,1010.38,977,12,226,30,82
1,33.4348,683.545,164,12,603,21,167
1,39.6938,1029.11,27,242,532,413,14
1,158.038,498.205,117,27,465,31,154
3,616.828,0.0412314,42,41,0,28,93
2,522.106,0.0488379,33,37,0,80,16
1,66.9295,1716.71,48,140,396,25,1575
3,608.876,0.0606693,38,68,0,83,48
3,447.475,0.0701682,65,12,0,35,21
1,155.979,351.735,42,28,280,13,142
1,89.0198,174.314,19,12,33,250,10
1,44.2668,528.374,10,481,155,12,41
1,50.7999,356.239,34,6,136,10,196
1,35.0733,1032.19,111,15,577,21,104
1,28.5294,1042.15,106,41,1326,124,49
1,32.2879,1036.1,25,107,682,28,487
1,106.594,627.281,79,30,662,48,43
3,245.196,829.592,435,25,645,128,29
1,35.0129,367.803,5,111,154,9,8
1,71.9905,999.134,16,282,346,20,439
1,115.116,512.954,21,69,481,25,203
1,28.1139,1045.35,39,99,1476,75,68
2,140.178,926.292,32,591,498,38,62
1,94.3615,415.803,16,74,326,156,10
2,32.0064,1031.89,467,17,939,22,111
2,90.034,328.126,12,21,81,496,9
1,35.5579,1037.26,550,24,1041,55,34
1,33.0479,1038.46,23,604,523,92,29
1,33.2315,1037.75,16,297,793,273,12
1,41.4915,1385.39,92,30,993,34,83
2,402.301,0.0333841,21,53,0,37,32
1,116.338,457.915,19,82,500,17,34
5,482.13,595.167,65,20,0,23,49
2,710.419,0.074035,45,59,0,69,36
1,41.3943,1031.11,116,42,1117,122,32
1,23.6552,1048.83,59,95,1425,132,35
1,26.0213,1046.97,23,276,1235,52,66
1,38.5846,1034.56,45,158,1368,77,52
1,44.5596,881.987,115,23,172,9,1019
1,37.2029,533.538,10,291,442,21,25
2,42.264,1022.45,20,182,636,516,16
1,176.685,388.327,79,9,170,29,21
1,638.252,0.0620922,52,41,0,92,30
1,25.5417,1039.56,19,332,1174,28,78
1,24.2962,1045.88,57,51,1045,134,35
1,31.7643,1038.57,20,455,843,120,26
1,61.9452,1006.25,10,1567,128,104,23
1,84.0229,313.441,3,198,50,27,14
1,529.447,0.026181,33,80,0,30,40
1,202.723,673.355,34,51,144,1079,14
1,57.7716,238.589,48,5,106,31,4
1,569.937,0.0445811,23,70,0,68,23
