#class tools::wcsv::ntuple
#title Escapes
#separator 44
#vector_separator 59
#column double EDep_Trigger
#column double N_Trigger
#column double EDep_PEN
#column double N_Left
#column double N_Right
#column double N_Bottom
#column double N_Front
#column double N_Back
2,203.35,904.82,89,149,2984,84,160
2,34.8105,1079.72,141,148,4188,135,119
2,29.6458,728.06,68,120,2247,207,51
2,150.503,962.191,85,242,3555,189,76
2,79.1376,1030.21,110,94,3463,642,42
2,94.6764,1014.26,91,207,3888,121,145
2,78.1815,1033.87,62,250,4100,125,125
2,30.1331,1084.95,108,142,4237,248,83
2,136.399,974.684,203,95,3788,142,108
2,240.222,869.154,79,187,3183,127,106
2,51.6624,1060.09,110,165,4310,115,153
2,210.304,896.347,73,180,3419,129,76
2,91.786,1017.85,317,64,3706,133,109
2,36.155,1040.16,234,77,4008,118,153
2,72.3558,1037.91,81,220,3753,136,118
3,485.624,531.288,69,38,1325,103,34
2,37.2974,1075.14,93,253,3977,125,137
2,193.767,916.584,163,101,3393,107,107
2,30.1562,1086.33,163,139,4224,146,125
2,45.1369,1063.73,141,132,3792,213,93
2,317.982,787.025,65,151,2464,80,102
2,28.5001,1084.49,146,136,4187,110,161
3,54.5779,1031.03,122,123,3820,124,92
2,23.2072,1088.73,116,165,4387,201,101
2,141.62,970.564,118,125,3666,65,238
2,144.584,962.728,154,103,3571,92,160
2,45.6171,1068.84,278,89,4219,224,93
3,382.989,726.655,106,116,2585,87,107
3,484.043,622.475,71,102,2237,43,210
3,520.786,584.668,36,206,2078,56,104
2,46.5062,1064.97,301,67,3780,112,148
2,40.6928,1071.67,516,56,3275,78,165
2,238.105,870.501,115,112,3240,109,118
2,26.1239,1088.44,144,146,4316,119,175
2,34.8324,1065.64,140,132,4091,129,116
3,295.78,813.683,91,153,3170,92,120
3,58.7375,1054.58,89,214,3985,158,123
2,60.6222,1047.43,192,92,3520,196,106
2,28.2967,1081.45,145,152,3900,196,113
2,79.027,1031.57,97,176,3938,135,136
2,322.433,717.504,99,83,2512,104,102
3,87.0618,1023.39,110,150,3984,86,212
2,323.595,782.664,79,138,2922,165,75
4,31.6493,1084.21,227,101,4169,166,167
4,296.344,797.932,176,85,2703,81,153
2,48.997,1064.56,136,140,4313,130,165
2,45.8538,1063.37,119,190,3960,129,110
3,203.482,904.328,114,99,3098,118,76
2,247.034,355.883,31,52,1025,123,28
2,31.2469,1082.79,259,87,4050,154,129
2,408.42,696.383,67,163,2382,55,138
2,27.2154,1083.69,280,87,3873,211,83
2,124.179,987.144,142,99,3892,146,113
2,31.5013,1082.73,103,175,4318,81,266
2,83.2562,880.376,131,95,2907,92,120
2,104.763,545.97,101,57,1887,93,72
2,28.7232,1082.55,109,140,3937,160,116
2,27.7134,1081.17,141,93,3790,459,43
2,249.45,860.96,90,156,3315,114,136
2,60.1809,1051.63,262,65,3980,175,102
2,520.948,584.059,90,79,2128,151,41
3,141.706,968.958,101,134,3557,109,127
2,23.026,1088.25,91,199,4000,80,308
2,88.5529,1022.48,129,131,3896,182,113
2,34.3098,1077.62,116,199,4297,125,152
2,37.939,1071.66,84,191,3710,60,334
2,528.389,574.016,73,59,1782,37,114
2,46.1805,1068,217,96,3772,98,179
2,22.6568,1094.16,206,96,4511,196,117
2,33.0239,1078.53,112,166,3953,133,147
2,389.598,717.292,75,91,2599,53,151
3,183.333,794.34,84,117,2387,117,82
2,240.93,0.0169585,0,0,0,0,0
2,89.8928,1018.77,163,84,3568,173,84
2,82.5298,1032.32,125,152,3951,282,84
3,134.349,968.357,90,128,3199,93,167
2,37.9341,1073.18,183,83,4210,137,134
2,230.36,878.836,282,67,2893,64,223
2,39.0563,1070.29,300,58,3767,277,76
2,19.5894,1092.39,135,132,4089,191,132
2,276.195,823.654,101,149,2731,108,95
2,477.661,627.925,84,76,2303,113,62
2,91.9801,1016.4,182,91,3564,111,121
2,28.1977,1082.79,148,125,4120,86,189
2,208.526,895.665,141,75,3186,93,136
2,313.772,776.582,34,154,2053,185,30
2,29.6635,1080.8,94,186,4020,105,167
2,238.789,869.613,81,180,3140,147,84
2,174.046,933.089,99,102,2884,261,65
2,37.2476,1072.68,136,109,4194,256,75
3,271.481,0.0236559,0,0,0,0,0
2,38.8088,1074.28,231,95,4271,133,150
2,99.4952,1014.18,89,235,4010,120,137
2,88.4052,1022.24,169,90,3779,250,63
2,128.928,977.306,272,55,3138,142,117
3,25.6057,1080.39,81,220,3892,84,156
2,40.9642,1070.98,157,122,4314,185,113
2,24.4757,1083.56,321,61,3646,170,88
2,40.1866,1069.3,121,166,4186,101,159
2,30.6176,1076.7,73,187,3788,68,251
3,30.5966,1084.23,93,213,3948,237,110
3,217.795,889.448,81,156,3204,184,72
2,141.299,508.664,71,69,1550,71,56
2,36.5054,1074.6,183,88,3813,244,91
2,29.0555,1086.63,126,177,4317,83,234
2,35.0743,1078.57,88,206,4109,149,134
